lhd,LGA,year,calc_rate,calc_LCI,calc_UCI,calc_inv
Hunter New England LHD,Muswellbrook,2017,0.329,0.303,0.354,1314
Hunter New England LHD,Narrabri,2017,0.316,0.29,0.341,1283
Hunter New England LHD,Newcastle,2017,0.388,0.38,0.397,14011
Hunter New England LHD,Port Stephens,2017,0.418,0.407,0.43,7147
Hunter New England LHD,Singleton,2017,0.365,0.344,0.385,2086
Hunter New England LHD,Tamworth Regional,2017,0.375,0.363,0.388,5648
Hunter New England LHD,Tenterfield,2017,0.36,0.321,0.398,590
Hunter New England LHD,Upper Hunter Shire,2017,0.37,0.343,0.397,1226
Hunter New England LHD,Uralla,2017,0.409,0.37,0.449,591
Hunter New England LHD,Walcha,2017,0.39,0.33,0.451,251
Illawarra Shoalhaven LHD,Illawarra Shoalhaven LHD,2017,0.392,0.387,0.396,38879
Illawarra Shoalhaven LHD,Kiama,2017,0.426,0.407,0.446,2380
Illawarra Shoalhaven LHD,Shellharbour,2017,0.378,0.367,0.39,6460
Illawarra Shoalhaven LHD,Shoalhaven,2017,0.428,0.418,0.437,11072
Illawarra Shoalhaven LHD,Wollongong,2017,0.371,0.364,0.377,18967
Mid North Coast LHD,Bellingen,2017,0.409,0.385,0.432,1690
Mid North Coast LHD,Coffs Harbour,2017,0.414,0.403,0.425,7874
Mid North Coast LHD,Kempsey,2017,0.374,0.358,0.391,3322
Mid North Coast LHD,Mid North Coast LHD,2017,0.406,0.399,0.412,23680
Mid North Coast LHD,Nambucca,2017,0.415,0.395,0.435,2356
Mid North Coast LHD,Port Macquarie-Hastings,2017,0.407,0.396,0.417,8438
Murrumbidgee LHD,Albury,2017,0.427,0.413,0.441,4856
Murrumbidgee LHD,Berrigan,2017,0.413,0.381,0.446,893
Murrumbidgee LHD,Bland,2017,0.365,0.324,0.405,540
Murrumbidgee LHD,Boorowa,2017,0.414,0.35,0.479,222
Murrumbidgee LHD,Carrathool,2017,0.299,0.24,0.358,231
Murrumbidgee LHD,Conargo,2017,0.432,0.273,0.592,37
Murrumbidgee LHD,Coolamon,2017,0.359,0.313,0.405,418
Murrumbidgee LHD,Cootamundra,2017,0.431,0.399,0.464,904
Murrumbidgee LHD,Corowa Shire,2017,0.447,0.42,0.474,1287
Murrumbidgee LHD,Deniliquin,2017,0.374,0.331,0.417,489
Murrumbidgee LHD,Greater Hume Shire,2017,0.43,0.399,0.461,984
Murrumbidgee LHD,Griffith,2017,0.341,0.321,0.36,2276
Murrumbidgee LHD,Gundagai,2017,0.351,0.297,0.405,299
Murrumbidgee LHD,Harden,2017,0.32,0.27,0.371,328
Murrumbidgee LHD,Hay,2017,0.366,0.315,0.418,336
Murrumbidgee LHD,Jerilderie,2017,0.341,0.258,0.425,123
Murrumbidgee LHD,Junee,2017,0.357,0.315,0.4,490
Murrumbidgee LHD,Lachlan,2017,0.316,0.241,0.39,150
Murrumbidgee LHD,Leeton,2017,0.352,0.322,0.381,1012
Murrumbidgee LHD,Lockhart,2017,0.411,0.357,0.465,319
Murrumbidgee LHD,Murray,2017,0.49,0.461,0.519,1159
